,question,0,1,2,3,4,5,6,7,8,9
0,Find the buildings which have rooms with capacity more than 50.,1,0,0,0,0,0,0,0,0,0
1,What are the distinct buildings with capacities of greater than 50?,1,0,0,0,0,0,0,0,0,0
2,Count the number of rooms that are not in the Lamberton building.,1,0,0,0,0,0,0,0,0,0
3,How many classrooms are not in Lamberton?,1,0,0,0,0,0,0,0,0,0
4,What is the name and building of the departments whose budget is more than the average budget?,0,1,0,0,0,0,0,0,0,0
5,Give the name and building of the departments with greater than average budget.,0,1,0,0,0,0,0,0,0,0
6,Find the room number of the rooms which can sit 50 to 100 students and their buildings.,1,0,0,0,0,0,0,0,0,0
7,What are the room numbers and corresponding buildings for classrooms which can seat between 50 to 100 students?,1,0,0,0,0,0,0,0,0,0
8,Find the name and building of the department with the highest budget.,0,1,0,0,0,0,0,0,0,0
9,What is the department name and corresponding building for the department with the greatest budget?,0,1,0,0,0,0,0,0,0,0
10,What is the name of the student who has the highest total credits in the History department.,0,0,0,0,0,0,1,0,0,0
11,Give the name of the student in the History department with the most credits.,0,0,0,0,0,0,1,0,0,0
12,How many rooms does the Lamberton building have?,1,0,0,0,0,0,0,0,0,0
13,Count the number of classrooms in Lamberton.,1,0,0,0,0,0,0,0,0,0
14,How many students have advisors?,0,0,0,0,0,0,0,0,1,0
15,Count the number of students who have advisors.,0,0,0,0,0,0,0,0,1,0
16,How many departments offer courses?,0,0,1,0,0,0,0,0,0,0
17,Count the number of departments which offer courses.,0,0,1,0,0,0,0,0,0,0
18,How many different courses offered by Physics department?,0,0,1,0,0,0,0,0,0,0
19,Count the number of courses in the Physics department.,0,0,1,0,0,0,0,0,0,0
20,Find the title of courses that have two prerequisites?,0,0,1,0,0,0,0,0,0,1
21,What are the titles for courses with two prerequisites?,0,0,1,0,0,0,0,0,0,1
22,"Find the title, credit, and department name of courses that have more than one prerequisites?",0,0,1,0,0,0,0,0,0,1
23,"What is the title, credit value, and department name for courses with more than one prerequisite?",0,0,1,0,0,0,0,0,0,1
24,How many courses that do not have prerequisite?,0,0,1,0,0,0,0,0,0,1
25,Count the number of courses without prerequisites.,0,0,1,0,0,0,0,0,0,1
26,Find the name of the courses that do not have any prerequisite?,0,0,1,0,0,0,0,0,0,1
27,What are the titles of courses without prerequisites?,0,0,1,0,0,0,0,0,0,1
28,How many different instructors have taught some course?,0,0,0,0,0,1,0,0,0,0
29,Count the number of distinct instructors who have taught a course.,0,0,0,0,0,1,0,0,0,0
30,Find the total budgets of the Marketing or Finance department.,0,1,0,0,0,0,0,0,0,0
31,What is the sum of budgets of the Marketing and Finance departments?,0,1,0,0,0,0,0,0,0,0
32,Find the department name of the instructor whose name contains 'Soisalon'.,0,0,0,1,0,0,0,0,0,0
33,What is the name of the department with an instructure who has a name like 'Soisalon'?,0,0,0,1,0,0,0,0,0,0
34,How many rooms whose capacity is less than 50 does the Lamberton building have?,1,0,0,0,0,0,0,0,0,0
35,Count the number of rooms in Lamberton with capacity lower than 50.,1,0,0,0,0,0,0,0,0,0
36,Find the name and budget of departments whose budgets are more than the average budget.,0,1,0,0,0,0,0,0,0,0
37,What are the names and budgets of departments with budgets greater than the average?,0,1,0,0,0,0,0,0,0,0
38,what is the name of the instructor who is in Statistics department and earns the lowest salary?,0,0,0,1,0,0,0,0,0,0
39,Give the name of the lowest earning instructor in the Statistics department.,0,0,0,1,0,0,0,0,0,0
40,Find the title of course that is provided by both Statistics and Psychology departments.,0,0,1,0,0,0,0,0,0,0
41,What is the title of a course that is listed in both the Statistics and Psychology departments?,0,0,1,0,0,0,0,0,0,0
42,Find the title of course that is provided by Statistics but not Psychology departments.,0,0,1,0,0,0,0,0,0,0
43,What are the titles of courses that are in the Statistics department but not the Psychology department?,0,0,1,0,0,0,0,0,0,0
44,Find the id of instructors who taught a class in Fall 2009 but not in Spring 2010.,0,0,0,0,0,1,0,0,0,0
45,What are the ids of instructors who taught in the Fall of 2009 but not in the Spring of 2010?,0,0,0,0,0,1,0,0,0,0
46,Find the name of students who took any class in the years of 2009 and 2010.,0,0,0,0,0,0,1,1,0,0
47,What are the names of the students who took classes in 2009 or 2010?,0,0,0,0,0,0,1,1,0,0
48,Find the names of the top 3 departments that provide the largest amount of courses?,0,0,1,0,0,0,0,0,0,0
49,What are the names of the 3 departments with the most courses?,0,0,1,0,0,0,0,0,0,0
50,Find the name of the department that offers the highest total credits?,0,0,1,0,0,0,0,0,0,0
51,What is the name of the department with the most credits?,0,0,1,0,0,0,0,0,0,0
52,List the names of all courses ordered by their titles and credits.,0,0,1,0,0,0,0,0,0,0
